Ax;Ay;Az;Gx;Gy;Gz;Room ;Obj,,
15256;-1468;5664;342;-598;-288;33,29;32,33
15500;-1552;5308;-28;-138;-161;33,29;32,71
15428;-1456;5576;-238;-256;-107;33,25;33,15
15516;-1492;5328;27;-328;-39;33,21;33,15
15424;-1212;5624;-504;31;32;33,21;33,37
15440;-1428;5240;-485;155;57;33,21;33,85
15288;-1552;5300;-486;705;65;33,25;34,47
15200;-1652;5768;-768;664;141;33,29;35,17
15092;-1796;6000;-702;389;115;33,35;35,51
15140;-2036;6048;-641;446;137;33,35;35,73
14888;-2176;6580;-671;375;117;33,35;35,65
14884;-2096;6316;-410;294;-38;33,39;35,55
15004;-2068;6492;-465;186;34;33,39;35,55
14980;-2092;6632;-397;-271;-10;33,43;35,43
14996;-2020;6504;-411;237;51;33,43;35,29
14844;-2144;6452;-302;-164;-127;33,43;34,81
14868;-2000;6208;-43;-533;-165;33,43;34,39
15140;-1892;6256;-20;-684;-146;33,35;32,77
14980;-1840;6112;-129;-235;-86;33,35;32,3
15080;-1808;5856;-64;-406;-120;33,29;31,85
15072;-1796;5736;271;-301;-311;33,29;32,3
15152;-1748;5484;-69;-313;-138;33,25;32,3
15240;-1704;5452;-22;-312;-225;33,21;32,37
15256;-1588;5212;-264;-154;24;33,21;32,67
15420;-1468;5344;-246;-167;-128;33,17;33,3
15404;-1568;5428;-335;43;-46;33,21;33,41
15456;-1452;5492;-502;340;113;33,17;34,5
15476;-1748;5576;-787;19;244;33,17;34,69
15220;-1688;5496;-661;467;159;33,21;34,91
15172;-1748;5816;-580;617;42;33,21;35,17
15224;-1848;6016;-481;367;-50;33,25;35,17
15004;-1840;6108;-514;104;13;33,29;35,43
15120;-1932;6228;-657;471;48;33,35;35,47
14992;-2016;6360;-456;286;-26;33,35;35,51
14928;-2036;6380;-236;0;-115;33,39;35,39
14868;-1952;6288;-359;-40;-12;33,39;35,25
15100;-1904;6516;-373;185;53;33,39;35,13
14956;-2064;6404;-232;84;-47;33,39;34,77
